                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.085,                 3.4079,                  2.846,                0.36693,                0.82353,                0.52328,                0.32796,                 1.4539,                 2.2491,                 2.1294,                0.00032,                0.00032,                0.00032
                      2,                 1.5438,                  2.317,                 2.4162,                0.69329,                0.70588,                0.70995,                0.45162,                 1.4857,                 2.5664,                 1.8855,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.5439,                 1.9803,                 2.4536,                0.61401,                0.46807,                0.50458,                0.29916,                 1.4995,                 2.5305,                 2.3545,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.4671,                 1.7933,                 2.4465,                0.58956,                0.70588,                0.73875,                0.38198,                 1.4744,                 2.3418,                 2.8017,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.4816,                 1.6639,                 2.4107,                0.58397,                0.74376,                0.74241,                 0.4328,                 1.5474,                 1.8679,                 2.3203,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.4385,                  1.601,                 2.4445,                0.61473,                0.76471,                0.70404,                0.36107,                 1.4518,                 2.2501,                 2.2847,               0.001901,               0.001901,               0.001901
                      7,                 1.4999,                  1.602,                 2.5448,                0.75647,                0.64706,                0.77595,                0.42396,                 1.3251,                  1.626,                 2.1794,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4438,                 1.4275,                 2.3912,                0.48501,                0.70588,                0.61112,                0.31436,                 1.4773,                 1.9218,                  2.524,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3775,                 1.3938,                 2.3699,                0.37797,                      1,                0.54775,                0.35897,                 1.1811,                 2.1187,                 2.1585,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4249,                 1.4249,                 2.4292,                0.70776,                0.88235,                0.84991,                0.54542,                 1.2095,                   1.36,                 2.0566,              0.0018218,              0.0018218,              0.0018218
