                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5941,                  3.708,                 3.2257,                0.23401,                0.55556,                0.19606,                0.05664,                 2.0657,                 3.2347,                 3.3113,                0.00036,                0.00036,                0.00036
                      2,                 1.6942,                 2.2799,                 2.6918,                0.50671,                0.72222,                0.56479,                0.28803,                 1.5689,                  2.976,                  2.452,             0.00073186,             0.00073186,             0.00073186
                      3,                 1.6038,                 1.9486,                 2.7268,                0.57429,                0.77778,                0.65061,                0.40278,                 1.3228,                 2.6446,                 1.9386,              0.0010954,              0.0010954,              0.0010954
                      4,                 1.5545,                 1.7021,                 2.6579,                0.55046,                0.88889,                0.80907,                0.51228,                 1.2888,                 2.2692,                 2.1989,              0.0014505,              0.0014505,              0.0014505
                      5,                  1.488,                 1.5172,                 2.6768,                0.62471,                0.77778,                0.72679,                0.43734,                 1.3996,                  1.664,                 2.2492,              0.0017973,              0.0017973,              0.0017973
                      6,                 1.5018,                   1.44,                 2.5934,                0.62377,                0.92159,                 0.7831,                 0.4219,                 1.3147,                 1.5369,                 2.5437,                0.00189,                0.00189,                0.00189
                      7,                 1.4241,                 1.3913,                 2.6023,                0.55853,                0.70342,                0.68883,                0.45152,                 1.2574,                 1.5959,                 2.3101,               0.001868,               0.001868,               0.001868
                      8,                 1.4055,                 1.2988,                 2.5189,                0.73379,                0.55556,                0.71382,                 0.4832,                 1.2187,                 1.5927,                 2.3575,               0.001846,               0.001846,               0.001846
                      9,                 1.3773,                 1.2459,                 2.5962,                0.75104,                0.55556,                0.62465,                0.41794,                 1.4469,                 1.8238,                 2.4129,               0.001824,               0.001824,               0.001824
                     10,                 1.4407,                 1.3245,                  2.627,                0.54447,                0.88889,                0.76092,                 0.5033,                 1.1385,                 1.3761,                 2.0253,               0.001802,               0.001802,               0.001802
                     11,                 1.2904,                 1.1842,                 2.4548,                0.69723,                0.94444,                0.85039,                0.63526,                 1.0922,                 1.0745,                 1.9358,                0.00178,                0.00178,                0.00178
                     12,                  1.274,                 1.1377,                 2.4544,                 0.8998,                0.72222,                0.81912,                0.59368,                 1.1067,                 1.1919,                 1.9527,               0.001758,               0.001758,               0.001758
                     13,                 1.3021,                 1.1518,                 2.4912,                0.76476,                0.77778,                0.84467,                0.63958,                 1.0604,                   1.01,                 2.0079,               0.001736,               0.001736,               0.001736
                     14,                 1.2603,                 1.1323,                 2.4525,                 0.8162,                0.83333,                0.85121,                0.64096,                0.98557,                0.98044,                 1.7987,               0.001714,               0.001714,               0.001714
                     15,                 1.1972,                 1.0792,                 2.3971,                0.77773,                      1,                0.89135,                0.69674,                0.97736,                0.99068,                 1.8988,               0.001692,               0.001692,               0.001692
                     16,                 1.2226,                 1.1039,                 2.4378,                0.77678,                0.96721,                0.88742,                0.66211,                0.97003,                0.90084,                 1.9134,                0.00167,                0.00167,                0.00167
                     17,                 1.1945,                  1.076,                 2.3132,                0.79113,                0.88889,                0.86564,                0.68324,                0.94886,                0.89218,                 1.7681,               0.001648,               0.001648,               0.001648
                     18,                 1.1921,                 1.0478,                 2.3424,                0.70895,                0.94444,                0.86992,                0.66459,                0.89918,                0.93885,                 1.7519,               0.001626,               0.001626,               0.001626
                     19,                 1.2485,                 1.0839,                 2.3301,                0.71747,                      1,                0.88234,                0.68911,                0.96364,                0.84848,                  1.901,               0.001604,               0.001604,               0.001604
                     20,                 1.1316,                0.98266,                 2.2594,                 0.7471,                0.98516,                0.87497,                0.62361,                 1.0054,                0.86583,                  1.904,               0.001582,               0.001582,               0.001582
                     21,                 1.1313,                0.93264,                 2.2925,                0.60924,                0.94444,                0.83886,                0.61612,                0.99383,                0.93278,                 1.8474,                0.00156,                0.00156,                0.00156
