                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5279,                 4.9292,                 3.2307,                0.03315,                0.68966,                0.05622,                 0.0144,                 2.1581,                 4.0332,                 3.3484,                0.00014,                0.00014,                0.00014
                      2,                 1.8221,                 3.8259,                 2.5316,                0.51162,                0.36166,                0.40283,                0.24098,                   1.36,                 2.5828,                  2.342,             0.00029576,             0.00029576,             0.00029576
                      3,                  1.428,                 2.9006,                   2.38,                0.79446,                0.58621,                0.69327,                0.40093,                 1.2944,                 2.0919,                 2.2977,             0.00044699,             0.00044699,             0.00044699
                      4,                 1.4757,                 2.9156,                 2.4128,                0.83019,                0.67469,                0.71115,                0.40044,                 1.4285,                 2.1575,                  2.411,             0.00059369,             0.00059369,             0.00059369
                      5,                 1.3639,                 2.3903,                 2.3733,                0.79293,                0.58621,                0.70106,                0.38216,                 1.4792,                  2.153,                 2.3003,             0.00073587,             0.00073587,             0.00073587
                      6,                 1.4564,                 2.1928,                 2.3323,                0.94099,                0.54998,                0.74567,                0.48791,                 1.3412,                 2.0793,                 2.2601,             0.00087353,             0.00087353,             0.00087353
                      7,                 1.2903,                 1.9384,                 2.2184,                0.86196,                0.64627,                0.77013,                0.49299,                 1.3123,                 1.8068,                 2.3865,              0.0010067,              0.0010067,              0.0010067
                      8,                 1.3232,                 1.7613,                  2.205,                0.76322,                0.86207,                0.80822,                0.47411,                 1.3198,                 1.6397,                 2.4609,              0.0011353,              0.0011353,              0.0011353
                      9,                 1.3204,                 1.6947,                 2.2164,                0.75657,                0.75862,                0.81388,                0.50673,                 1.3135,                 1.5953,                 2.4262,              0.0012593,              0.0012593,              0.0012593
                     10,                 1.2763,                 1.6507,                 2.3693,                0.68108,                0.75862,                0.76142,                0.46576,                 1.3164,                 1.9969,                 2.3707,              0.0013789,              0.0013789,              0.0013789
                     11,                 1.3993,                 1.6324,                 2.3322,                0.88873,                0.55088,                0.70808,                0.49667,                 1.3718,                 1.7111,                 2.3094,              0.0014939,              0.0014939,              0.0014939
                     12,                 1.4246,                 1.5811,                 2.3249,                0.75929,                0.76149,                0.79146,                0.46642,                 1.4606,                 1.4798,                 2.3315,              0.0016044,              0.0016044,              0.0016044
                     13,                 1.3232,                 1.4822,                 2.3039,                0.75567,                0.64026,                0.71802,                0.36681,                  1.658,                 1.7256,                 2.5962,              0.0016606,              0.0016606,              0.0016606
                     14,                 1.3266,                 1.3885,                 2.2391,                0.83873,                0.72414,                0.76526,                 0.5018,                  1.464,                 1.6016,                 2.4446,              0.0016323,              0.0016323,              0.0016323
                     15,                 1.3968,                 1.3538,                 2.3068,                0.80669,                0.71966,                0.75056,                0.46535,                 1.3872,                  1.709,                 2.3185,               0.001604,               0.001604,               0.001604
                     16,                 1.3126,                   1.24,                 2.2719,                0.77462,                 0.7931,                0.81429,                0.53635,                 1.2911,                 1.4118,                 2.1996,              0.0015757,              0.0015757,              0.0015757
                     17,                 1.1514,                 1.1329,                 2.1294,                0.76552,                0.75862,                0.80789,                 0.5482,                 1.2626,                 1.2622,                 2.2464,              0.0015474,              0.0015474,              0.0015474
                     18,                 1.2768,                 1.2475,                  2.237,                0.79371,                0.82759,                0.86371,                0.51286,                 1.3104,                 1.3198,                  2.377,              0.0015191,              0.0015191,              0.0015191
                     19,                 1.2465,                 1.2345,                 2.2126,                0.77982,                0.86207,                0.85836,                0.53475,                 1.2981,                 1.2259,                 2.2629,              0.0014909,              0.0014909,              0.0014909
