                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3852,                 3.2477,                 1.7985,                  0.015,                0.86724,                0.38086,                0.16422,                  1.743,                 2.9684,                 1.5439,             0.00021671,             0.00021671,             0.00021671
                      2,                 2.1733,                 2.0148,                 1.5624,                 0.7136,                0.14695,                 0.4426,                0.24025,                 1.7829,                 2.5392,                 1.5435,             0.00042781,             0.00042781,             0.00042781
                      3,                 2.1643,                 1.6686,                 1.4921,                0.73557,                0.26786,                0.40942,                0.17833,                 1.9371,                 2.5499,                 1.8069,             0.00061581,             0.00061581,             0.00061581
                      4,                 2.0525,                 1.5444,                 1.4729,                0.48812,                0.41424,                0.46336,                 0.2792,                 1.7022,                 2.1871,                  1.587,              0.0007807,              0.0007807,              0.0007807
                      5,                 2.0405,                 1.5215,                 1.4902,                0.59758,                0.46843,                0.55884,                0.24553,                  1.847,                 2.2203,                 1.6524,             0.00092248,             0.00092248,             0.00092248
                      6,                 2.0086,                 1.4562,                 1.4538,                0.66601,                0.53106,                0.54341,                0.27131,                 1.7996,                 1.9622,                  1.671,              0.0010412,              0.0010412,              0.0010412
                      7,                 2.0239,                 1.4622,                 1.4909,                 0.3568,                0.44177,                0.42573,                 0.2057,                 2.0717,                 2.1283,                 1.8329,              0.0011367,              0.0011367,              0.0011367
                      8,                 1.9833,                 1.3958,                 1.4537,                0.38309,                0.63975,                 0.5383,                0.28869,                 1.9499,                  2.221,                 1.8418,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.9789,                  1.366,                 1.4613,                0.59981,                0.56843,                 0.6314,                0.29686,                  1.866,                 1.9451,                  1.866,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.9648,                 1.3192,                 1.4201,                0.42149,                0.59627,                 0.5147,                0.25193,                 1.7719,                 2.0735,                 1.7163,             0.00092435,             0.00092435,             0.00092435
                     11,                 2.0106,                  1.432,                 1.4493,                0.53554,                0.66232,                0.61398,                0.30181,                 1.8409,                 1.7745,                 1.7309,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.9917,                 1.3855,                 1.4912,                0.67029,                 0.7663,                0.71179,                0.33648,                 1.9199,                 1.5654,                 1.6985,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.9237,                 1.3379,                 1.4344,                0.73503,                0.76065,                0.76001,                0.36244,                 1.8394,                 1.5437,                 1.6322,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.9337,                 1.3076,                 1.4369,                0.66109,                0.70497,                0.73041,                 0.3678,                 1.8543,                 1.5893,                 1.6189,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.8974,                 1.2563,                 1.4258,                0.77039,                0.75854,                 0.7347,                0.35065,                 1.8417,                 1.5408,                 1.6364,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.9393,                 1.2483,                 1.4517,                0.76146,                0.67233,                0.73046,                0.35194,                 1.8198,                 1.4418,                 1.6315,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.8637,                 1.2221,                 1.3959,                0.72106,                0.77179,                0.75067,                0.38096,                 1.7878,                 1.3825,                 1.5875,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.8974,                 1.2135,                 1.4267,                0.68748,                0.78783,                 0.7505,                0.39032,                 1.7736,                 1.3828,                 1.5701,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.8144,                 1.2185,                 1.4059,                0.73382,                0.82929,                0.77386,                0.39916,                 1.7787,                 1.3542,                 1.5812,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.8447,                 1.1705,                 1.3953,                0.77017,                0.84225,                0.78589,                0.41146,                 1.7798,                 1.3154,                 1.5573,             9.9187e-05,             9.9187e-05,             9.9187e-05
