                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3852,                 3.2477,                 1.7985,                  0.015,                0.86724,                0.38086,                0.16422,                  1.743,                 2.9684,                 1.5439,             0.00021671,             0.00021671,             0.00021671
                      2,                 2.1728,                 2.0095,                 1.5614,                0.58697,                0.14678,                0.46217,                0.24514,                 1.7184,                 2.5291,                 1.5253,             0.00044372,             0.00044372,             0.00044372
                      3,                 2.1455,                 1.6585,                 1.4875,                0.78393,                0.17857,                0.48628,                0.24492,                 1.9328,                 2.3598,                 1.7532,             0.00066414,             0.00066414,             0.00066414
                      4,                 2.0635,                 1.5551,                 1.4738,                0.83876,                0.23214,                0.44763,                0.24144,                 1.7471,                 2.5127,                 1.6454,             0.00087795,             0.00087795,             0.00087795
                      5,                 2.0685,                 1.5252,                 1.5095,                0.49584,                0.32881,                0.28639,                0.12984,                 2.0498,                  2.606,                 1.8491,              0.0010852,              0.0010852,              0.0010852
                      6,                 2.0223,                 1.4954,                 1.4852,                0.36835,                0.53494,                0.38626,                 0.1564,                  2.039,                 2.3645,                 2.0179,              0.0012858,              0.0012858,              0.0012858
                      7,                 2.0438,                  1.478,                 1.5111,                 0.4495,                0.55668,                0.45443,                0.19503,                 1.9977,                 2.2841,                 1.8019,              0.0014798,              0.0014798,              0.0014798
                      8,                 2.0049,                 1.4152,                 1.4765,                0.35792,                0.48758,                0.44457,                0.22588,                 1.8731,                  2.122,                  1.744,               0.001502,               0.001502,               0.001502
                      9,                 2.0124,                  1.398,                 1.4746,                0.50417,                0.51708,                0.51034,                0.22577,                 1.9902,                 1.9255,                 1.8483,              0.0014784,              0.0014784,              0.0014784
                     10,                 2.0046,                 1.3462,                  1.448,                 0.5149,                0.45186,                0.48075,                0.21757,                 2.0285,                 2.4186,                 1.8977,              0.0014548,              0.0014548,              0.0014548
                     11,                 2.0313,                 1.3564,                 1.4627,                0.56061,                0.51729,                0.53838,                0.24714,                 1.9692,                 2.0248,                 1.8598,              0.0014312,              0.0014312,              0.0014312
                     12,                 1.9971,                 1.3044,                 1.4391,                0.51243,                0.69754,                0.61488,                0.27386,                 1.9957,                 1.7554,                 1.6726,              0.0014077,              0.0014077,              0.0014077
                     13,                 1.9351,                 1.3482,                 1.4469,                0.65491,                 0.6972,                 0.6743,                0.28046,                 2.0545,                 1.6371,                  1.763,              0.0013841,              0.0013841,              0.0013841
                     14,                 1.9922,                 1.2807,                 1.4405,                0.71539,                0.57842,                 0.6226,                0.23687,                 2.1445,                 1.7296,                 1.8496,              0.0013605,              0.0013605,              0.0013605
                     15,                 1.9534,                   1.23,                 1.4301,                0.57487,                 0.6312,                0.58196,                0.28533,                 1.9383,                 2.2118,                  1.726,              0.0013369,              0.0013369,              0.0013369
                     16,                 1.9172,                 1.2294,                 1.4222,                0.70256,                0.71875,                0.68968,                0.31278,                 1.9011,                 1.6985,                 1.7194,              0.0013134,              0.0013134,              0.0013134
                     17,                 1.9239,                 1.2166,                 1.4154,                0.77594,                0.63078,                0.70418,                0.31896,                  1.957,                 1.6424,                  1.712,              0.0012898,              0.0012898,              0.0012898
                     18,                 1.9588,                 1.2604,                 1.4354,                 0.7257,                0.66925,                0.72292,                0.32941,                 1.8926,                 1.5452,                 1.6355,              0.0012662,              0.0012662,              0.0012662
                     19,                 1.8989,                  1.216,                 1.4159,                0.77329,                0.68014,                0.73735,                0.31721,                 1.9091,                 1.5283,                 1.7172,              0.0012426,              0.0012426,              0.0012426
                     20,                 1.8851,                 1.2216,                 1.4369,                0.60419,                0.67864,                0.69269,                0.30949,                  1.875,                 1.4655,                 1.6904,              0.0012191,              0.0012191,              0.0012191
                     21,                 1.9079,                 1.1448,                 1.4099,                0.62873,                 0.7291,                0.73007,                0.33199,                 1.7889,                 1.4619,                  1.629,              0.0011955,              0.0011955,              0.0011955
                     22,                 1.8959,                  1.164,                 1.4034,                0.79289,                0.54658,                0.68365,                0.35889,                 1.9558,                  1.487,                 1.7782,              0.0011719,              0.0011719,              0.0011719
                     23,                 1.8792,                 1.1549,                 1.4017,                0.76977,                0.62758,                0.66846,                0.31352,                 2.0061,                 1.5087,                 1.8002,              0.0011483,              0.0011483,              0.0011483
                     24,                 1.8825,                 1.1535,                 1.3951,                0.70434,                0.72283,                0.69304,                0.34791,                 1.9879,                 1.3576,                 1.7094,              0.0011247,              0.0011247,              0.0011247
                     25,                 1.8708,                 1.1555,                 1.4076,                0.65707,                0.80202,                0.69602,                0.35108,                 1.8633,                 1.3554,                 1.6737,              0.0011012,              0.0011012,              0.0011012
                     26,                 1.8627,                 1.1238,                 1.3901,                0.72381,                0.75469,                0.73132,                0.35536,                 1.8544,                 1.3964,                 1.6987,              0.0010776,              0.0010776,              0.0010776
                     27,                 1.8607,                 1.1141,                 1.3675,                0.77873,                0.78028,                0.77837,                0.39374,                 1.7974,                 1.3784,                 1.6416,               0.001054,               0.001054,               0.001054
                     28,                  1.842,                 1.1206,                 1.3776,                0.81865,                0.70109,                0.77759,                0.35876,                 1.8716,                 1.3893,                 1.6743,              0.0010304,              0.0010304,              0.0010304
                     29,                 1.8364,                 1.0917,                  1.356,                0.84969,                0.69692,                0.82345,                0.37703,                 1.9102,                 1.3724,                  1.692,              0.0010069,              0.0010069,              0.0010069
                     30,                 1.8733,                 1.0998,                 1.3756,                0.67459,                0.77019,                 0.7401,                 0.3678,                  1.813,                 1.3268,                 1.6618,             0.00098329,             0.00098329,             0.00098329
                     31,                  1.843,                 1.0995,                 1.3669,                0.63417,                0.80642,                0.73808,                0.36674,                 1.8425,                 1.2695,                 1.6666,             0.00095972,             0.00095972,             0.00095972
                     32,                 1.8303,                 1.0707,                 1.3542,                0.60272,                0.74845,                0.68956,                0.31348,                 1.9146,                 1.4059,                 1.6991,             0.00093614,             0.00093614,             0.00093614
                     33,                 1.7949,                 1.0663,                 1.3413,                0.68845,                0.68611,                 0.6964,                0.33724,                 1.9466,                 1.4254,                 1.7307,             0.00091256,             0.00091256,             0.00091256
                     34,                 1.8244,                 1.0821,                 1.3559,                0.81425,                0.65528,                0.73255,                0.33236,                 1.9415,                 1.3729,                 1.7615,             0.00088899,             0.00088899,             0.00088899
